playlist_id,playlist_name,song_id,song_name,artist_id,artist_name,album_id,album_name,song_duration
2203762754,刘若英LIVE,254406,后来(Live),8326,刘若英,25419,单身日志Live演唱会,5:55
2203762754,刘若英LIVE,27483078,年华(Live),8326,刘若英,25419,单身日志Live演唱会,4:43
2203762754,刘若英LIVE,27483079,到处乱走(Live),8326,刘若英,25419,单身日志Live演唱会,7:02
2203762754,刘若英LIVE,543987024,Talking-5,8326,刘若英,25419,单身日志Live演唱会,0:36
2203762754,刘若英LIVE,254370,Flying(Live),8326,刘若英,25419,单身日志Live演唱会,2:44
2203762754,刘若英LIVE,27483076,透明(Live),8326,刘若英,25419,单身日志Live演唱会,3:56
2203762754,刘若英LIVE,254366,梦童(Live),8326,刘若英,25419,单身日志Live演唱会,2:34
2203762754,刘若英LIVE,254385,对面男生的房间(Live),8326,刘若英,25419,单身日志Live演唱会,2:54
2203762754,刘若英LIVE,254400,你说的对(Live),8326,刘若英,25419,单身日志Live演唱会,4:01
634873712,【V.I.P】BIGBANG全部歌曲,534540518,"TODAY [G-DRAGON 2017 WORLD TOUR ＜ACT III, M.O.T.T.E＞ IN JAPAN]",123577,G-Dragon,37467192,"G-DRAGON 2017 WORLD TOUR <ACT III, M.O.T.T.E> IN JAPAN",3:35
634873712,【V.I.P】BIGBANG全部歌曲,534539488,"R.O.D. [G-DRAGON 2017 WORLD TOUR ＜ACT III, M.O.T.T.E＞ IN JAPAN]",123577,G-Dragon,37467192,"G-DRAGON 2017 WORLD TOUR <ACT III, M.O.T.T.E> IN JAPAN",4:11
634873712,【V.I.P】BIGBANG全部歌曲,534542524,"BLACK [G-DRAGON 2017 WORLD TOUR ＜ACT III, M.O.T.T.E＞ IN JAPAN]",123577,G-Dragon,37467192,"G-DRAGON 2017 WORLD TOUR <ACT III, M.O.T.T.E> IN JAPAN",3:51
454209541,G.E.M.邓紫棋 热门歌曲,1484967131,孤独,7763,G.E.M.邓紫棋,96426263,孤独,3:50
454209541,G.E.M.邓紫棋 热门歌曲,1481592204,万国觉醒,7763,G.E.M.邓紫棋,95831891,万国觉醒,3:35
454209541,G.E.M.邓紫棋 热门歌曲,1429363572,平凡天使 - (Angels),7763,G.E.M.邓紫棋,86339613,平凡天使,3:33
454209541,G.E.M.邓紫棋 热门歌曲,1412263909,Fly Away,7763,G.E.M.邓紫棋,84391762,摩天动物园,3:58
634873712,【V.I.P】BIGBANG全部歌曲,27808528,WHAT CAN I DO,124745,胜利,2681210,LET'S TALK ABOUT LOVE (Japan Version),3:36
634873712,【V.I.P】BIGBANG全部歌曲,30854090,FANTASTIC BABY - (Japanese Ver.),126339,BIGBANG,3104651,THE BEST OF BIGBANG 2006-2014,3:51
454209541,G.E.M.邓紫棋 热门歌曲,1412264550,透明,7763,G.E.M.邓紫棋,84391762,摩天动物园,3:37
454209541,G.E.M.邓紫棋 热门歌曲,1412263970,很久以后,7763,G.E.M.邓紫棋,84391762,摩天动物园,4:50
454209541,G.E.M.邓紫棋 热门歌曲,1412264008,萤火,7763,G.E.M.邓紫棋,84391762,摩天动物园,3:50
454209541,G.E.M.邓紫棋 热门歌曲,1412264641,灰狼,7763,G.E.M.邓紫棋,84391762,摩天动物园,3:23
454209541,G.E.M.邓紫棋 热门歌曲,1412266089,好想好想你,7763,G.E.M.邓紫棋,84391762,摩天动物园,3:24
634873712,【V.I.P】BIGBANG全部歌曲,30854086,Tell Me Goodbye,126339,BIGBANG,3104651,THE BEST OF BIGBANG 2006-2014,4:06
634873712,【V.I.P】BIGBANG全部歌曲,30854091,Ms.LIAR - (Stupid Liar Japanese Ver.),126339,BIGBANG,3104651,THE BEST OF BIGBANG 2006-2014,3:54
634873712,【V.I.P】BIGBANG全部歌曲,30854096,BAD BOY - (Japanese Ver.),126339,BIGBANG,3104651,THE BEST OF BIGBANG 2006-2014,3:58
454209541,G.E.M.邓紫棋 热门歌曲,1412264712,别勉强,7763,G.E.M.邓紫棋/周兴哲,84391762,摩天动物园,4:22
634873712,【V.I.P】BIGBANG全部歌曲,543987785,HANDS UP [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],126339,BIGBANG,37888128,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,3:57
